排名,矩阵M,矩阵N,矩阵K,计算性能,性能单位,整机功耗(W),整机能效比(性能单位/W)
91,5120,2048,122880,6246.15,TOPS,6123.00,1.020
92,5120,2048,131072,6244.77,TOPS,6123.00,1.020
93,5120,3072,43008,6049.58,TOPS,5931.00,1.020
94,5120,3072,45056,6066.28,TOPS,5947.00,1.020
95,5120,3072,53248,6114.15,TOPS,5992.00,1.020
96,5120,3072,77824,6193.93,TOPS,6072.00,1.020
97,5120,2048,102400,6223.27,TOPS,6107.00,1.019
98,3072,10240,36864,6040.32,TOPS,5931.00,1.018
99,3072,5120,98304,6227.13,TOPS,6117.00,1.018
100,5120,2048,110592,6230.49,TOPS,6123.00,1.018
101,5120,3072,40960,6036.83,TOPS,5931.00,1.018
102,5120,3072,55296,6121.16,TOPS,6011.00,1.018
103,5120,3072,59392,6135.47,TOPS,6027.00,1.018
104,5120,3072,57344,6131.36,TOPS,6027.00,1.017
105,5120,3072,61440,6147.92,TOPS,6043.00,1.017
106,3072,10240,34816,6026.24,TOPS,5931.00,1.016
107,5120,2048,104448,6223.07,TOPS,6123.00,1.016
108,5120,2048,106496,6222.81,TOPS,6123.00,1.016
109,5120,4096,38912,6041.92,TOPS,5947.00,1.016
110,5120,3072,88064,6212.17,TOPS,6123.00,1.015
111,5120,3072,90112,6216.43,TOPS,6123.00,1.015
112,2048,10240,16384,5706.34,TOPS,5627.00,1.014
113,2048,7168,51200,5721.07,TOPS,5643.00,1.014
114,5120,3072,36864,6013.81,TOPS,5931.00,1.014
115,5120,3072,47104,6077.83,TOPS,5995.00,1.014
116,3072,10240,40960,6073.02,TOPS,5995.00,1.013
117,2048,7168,49152,5711.08,TOPS,5643.00,1.012
118,3072,10240,32768,6002.80,TOPS,5931.00,1.012
119,5120,3072,81920,6196.73,TOPS,6123.00,1.012
120,5120,4096,22528,5826.93,TOPS,5755.00,1.012
121,5120,4096,36864,6020.50,TOPS,5947.00,1.012
122,4096,6144,49152,5897.70,TOPS,5835.00,1.011
123,5120,4096,26624,5901.46,TOPS,5835.00,1.011
124,5120,4096,49152,6108.83,TOPS,6043.00,1.011
125,2048,10240,14336,5602.54,TOPS,5547.00,1.010
126,2048,7168,45056,5691.42,TOPS,5643.00,1.009
127,3072,8192,51200,5885.35,TOPS,5835.00,1.009
128,5120,4096,32768,5984.55,TOPS,5931.00,1.009
129,5120,4096,45056,6079.84,TOPS,6027.00,1.009
130,5120,4096,59392,6147.48,TOPS,6091.00,1.009
131,5120,4096,67584,6176.36,TOPS,6123.00,1.009
132,3072,10240,26624,5928.40,TOPS,5883.00,1.008
133,5120,3072,120832,6254.27,TOPS,6203.00,1.008
134,2048,7168,32768,5601.50,TOPS,5563.00,1.007
135,2048,7168,71680,5780.70,TOPS,5739.00,1.007
136,5120,4096,43008,6071.47,TOPS,6027.00,1.007
137,5120,4096,63488,6163.49,TOPS,6123.00,1.007
138,5120,5120,30720,5971.86,TOPS,5931.00,1.007
139,2048,7168,26624,5531.90,TOPS,5499.00,1.006
140,2048,7168,43008,5674.29,TOPS,5643.00,1.006
141,2048,7168,67584,5773.94,TOPS,5739.00,1.006
142,5120,4096,28672,5934.73,TOPS,5899.00,1.006
143,2048,7168,22528,5462.82,TOPS,5435.00,1.005
144,2048,7168,40960,5671.64,TOPS,5643.00,1.005
145,2048,7168,65536,5765.75,TOPS,5739.00,1.005
146,3072,10240,28672,5958.47,TOPS,5931.00,1.005
147,5120,5120,32768,5991.32,TOPS,5963.00,1.005
148,5120,5120,38912,6055.45,TOPS,6027.00,1.005
149,2048,7168,28672,5553.62,TOPS,5531.00,1.004
150,2048,7168,63488,5763.21,TOPS,5739.00,1.004
151,3072,8192,32768,5763.37,TOPS,5739.00,1.004
152,5120,4096,34816,6004.78,TOPS,5979.00,1.004
153,2048,7168,47104,5694.25,TOPS,5675.00,1.003
154,2048,7168,94208,5819.73,TOPS,5803.00,1.003
155,4096,10240,20480,5867.45,TOPS,5851.00,1.003
156,4096,10240,24576,5947.96,TOPS,5931.00,1.003
157,2048,7168,20480,5427.16,TOPS,5419.00,1.002
158,2048,7168,55296,5733.04,TOPS,5723.00,1.002
159,2048,7168,59392,5748.48,TOPS,5739.00,1.002
160,2048,7168,77824,5796.82,TOPS,5787.00,1.002
161,4096,6144,22528,5653.68,TOPS,5643.00,1.002
162,5120,4096,14336,5560.22,TOPS,5547.00,1.002
163,5120,5120,36864,6036.37,TOPS,6027.00,1.002
164,5120,5120,53248,6134.92,TOPS,6123.00,1.002
165,3072,8192,30720,5743.23,TOPS,5739.00,1.001
166,5120,4096,18432,5726.61,TOPS,5723.00,1.001
167,2048,7168,53248,5724.02,TOPS,5723.00,1.000
168,3072,10240,16384,5687.49,TOPS,5688.00,1.000
169,4096,6144,38912,5835.86,TOPS,5835.00,1.000
170,2048,7168,34816,5623.60,TOPS,5627.00,0.999
171,2048,7168,36864,5636.19,TOPS,5643.00,0.999
172,3072,8192,40960,5829.33,TOPS,5835.00,0.999
173,4096,10240,22528,5911.59,TOPS,5915.00,0.999
174,5120,5120,34816,6022.62,TOPS,6027.00,0.999
175,2048,7168,79872,5799.92,TOPS,5819.00,0.997
176,3072,8192,38912,5816.97,TOPS,5835.00,0.997
177,4096,10240,18432,5818.44,TOPS,5835.00,0.997
178,3072,3072,43008,5430.02,TOPS,5451.00,0.996
179,3072,3072,47104,5460.39,TOPS,5483.00,0.996
180,3072,8192,18432,5524.30,TOPS,5547.00,0.996
181,3072,8192,28672,5715.42,TOPS,5739.00,0.996
182,4096,6144,20480,5620.44,TOPS,5643.00,0.996
183,3072,3072,61440,5519.62,TOPS,5547.00,0.995
184,3072,8192,20480,5583.95,TOPS,5611.00,0.995
185,3072,8192,26624,5692.20,TOPS,5723.00,0.995
186,3072,10240,14336,5606.91,TOPS,5643.00,0.994
187,3072,8192,22528,5624.62,TOPS,5659.00,0.994
188,4096,6144,28672,5751.15,TOPS,5787.00,0.994
189,10240,1024,40960,6003.15,TOPS,6043.00,0.993
190,3072,3072,40960,5411.74,TOPS,5451.00,0.993
191,3072,3072,57344,5508.84,TOPS,5547.00,0.993
192,3072,8192,24576,5653.68,TOPS,5691.00,0.993
193,5120,5120,20480,5795.75,TOPS,5835.00,0.993
194,10240,1024,34816,5944.50,TOPS,5995.00,0.992
195,10240,1024,38912,5978.53,TOPS,6027.00,0.992
196,10240,1024,49152,6055.98,TOPS,6107.00,0.992
197,10240,1024,55296,6090.34,TOPS,6139.00,0.992
198,4096,6144,16384,5503.23,TOPS,5547.00,0.992
199,4096,6144,32768,5788.10,TOPS,5835.00,0.992
200,10240,1024,51200,6065.06,TOPS,6123.00,0.991
201,3072,3072,94208,5594.18,TOPS,5643.00,0.991
202,4096,10240,12288,5590.45,TOPS,5643.00,0.991
203,10240,1024,36864,5963.80,TOPS,6027.00,0.990
204,1024,9216,57344,5490.24,TOPS,5547.00,0.990
205,2048,9216,45056,5506.83,TOPS,5563.00,0.990
206,3072,3072,53248,5490.11,TOPS,5547.00,0.990
207,3072,3072,59392,5506.78,TOPS,5560.00,0.990
208,3072,3072,63488,5522.81,TOPS,5579.00,0.990
209,3072,3072,73728,5555.11,TOPS,5611.00,0.990
210,3072,3072,88064,5584.96,TOPS,5643.00,0.990
211,2048,9216,30720,5408.15,TOPS,5467.00,0.989
212,3072,3072,36864,5389.77,TOPS,5451.00,0.989
213,3072,3072,38912,5390.00,TOPS,5451.00,0.989
214,5120,5120,18432,5753.31,TOPS,5819.00,0.989
215,1024,9216,30720,5276.26,TOPS,5339.00,0.988
216,4096,10240,14336,5682.08,TOPS,5752.00,0.988
217,5120,5120,16384,5669.12,TOPS,5739.00,0.988
218,10240,1024,65536,6138.58,TOPS,6219.00,0.987
219,2048,9216,38912,5473.47,TOPS,5547.00,0.987
220,3072,3072,49152,5473.18,TOPS,5547.00,0.987
221,3072,3072,51200,5475.90,TOPS,5547.00,0.987
222,3072,3072,81920,5568.35,TOPS,5643.00,0.987
223,3072,3072,92160,5586.97,TOPS,5659.00,0.987
224,5120,6144,26624,5931.69,TOPS,6011.00,0.987
225,1024,9216,38912,5375.13,TOPS,5451.00,0.986
226,1024,9216,55296,5486.72,TOPS,5563.00,0.986
227,2048,9216,59392,5561.85,TOPS,5643.00,0.986
228,2048,9216,61440,5563.63,TOPS,5643.00,0.986
229,3072,3072,34816,5372.60,TOPS,5451.00,0.986
230,3072,3072,79872,5565.35,TOPS,5643.00,0.986
231,3072,8192,14336,5375.63,TOPS,5451.00,0.986
232,4096,6144,18432,5562.92,TOPS,5640.00,0.986
233,4096,7168,34816,5660.39,TOPS,5739.00,0.986
234,4096,7168,36864,5674.96,TOPS,5755.00,0.986
235,10240,1024,43008,6016.65,TOPS,6107.00,0.985
236,3072,3072,108544,5606.62,TOPS,5691.00,0.985
237,3072,3072,45056,5447.26,TOPS,5531.00,0.985
238,3072,3072,75776,5560.30,TOPS,5643.00,0.985
239,3072,8192,16384,5465.54,TOPS,5547.00,0.985
240,10240,1024,45056,6026.76,TOPS,6123.00,0.984
241,2048,9216,47104,5519.94,TOPS,5611.00,0.984
242,6144,5120,24576,5883.67,TOPS,5979.00,0.984
243,2048,9216,26624,5360.96,TOPS,5451.00,0.983
244,2048,9216,28672,5387.29,TOPS,5483.00,0.983
245,4096,7168,24576,5548.93,TOPS,5643.00,0.983
246,1024,9216,49152,5446.62,TOPS,5547.00,0.982
247,3072,3072,106496,5605.80,TOPS,5707.00,0.982
248,3072,3072,67584,5541.75,TOPS,5643.00,0.982
249,3072,6144,36864,5446.09,TOPS,5547.00,0.982
250,1024,9216,53248,5473.40,TOPS,5579.00,0.981
251,2048,9216,40960,5485.51,TOPS,5592.00,0.981
252,3072,3072,69632,5538.60,TOPS,5643.00,0.981
253,4096,10240,10240,5457.62,TOPS,5563.00,0.981
254,5120,5120,14336,5596.13,TOPS,5707.00,0.981
255,5120,6144,20480,5815.70,TOPS,5931.00,0.981
256,1024,9216,47104,5436.76,TOPS,5547.00,0.980
257,3072,3072,32768,5339.50,TOPS,5451.00,0.980
258,4096,7168,30720,5623.90,TOPS,5739.00,0.980
259,6144,4096,38912,5809.46,TOPS,5931.00,0.980
260,6144,5120,22528,5842.25,TOPS,5963.00,0.980
261,1024,9216,32768,5303.10,TOPS,5419.00,0.979
262,2048,9216,24576,5334.43,TOPS,5451.00,0.979
263,2048,9216,32768,5429.55,TOPS,5547.00,0.979
264,1024,9216,65536,5519.09,TOPS,5643.00,0.978
265,3072,6144,26624,5332.13,TOPS,5451.00,0.978
266,3072,6144,53248,5520.24,TOPS,5643.00,0.978
267,4096,7168,22528,5517.46,TOPS,5643.00,0.978
268,1024,9216,45056,5420.02,TOPS,5547.00,0.977
269,5120,9216,38912,6077.50,TOPS,6219.00,0.977
270,2048,9216,20480,5255.11,TOPS,5387.00,0.976
271,3072,6144,20480,5225.73,TOPS,5355.00,0.976
272,4096,7168,18432,5431.66,TOPS,5563.00,0.976
273,1024,9216,51200,5468.72,TOPS,5608.00,0.975
274,1024,9216,59392,5499.30,TOPS,5643.00,0.975
275,1024,9216,63488,5515.33,TOPS,5656.00,0.975
276,4096,6144,14336,5434.93,TOPS,5573.00,0.975
277,7168,2048,26624,5504.11,TOPS,5659.00,0.973
278,2048,9216,18432,5205.65,TOPS,5355.00,0.972
279,7168,2048,32768,5578.54,TOPS,5739.00,0.972
280,3072,6144,34816,5416.56,TOPS,5576.00,0.971
281,5120,9216,20480,5853.84,TOPS,6027.00,0.971
282,6144,5120,16384,5667.57,TOPS,5835.00,0.971
283,7168,2048,65536,5757.69,TOPS,5931.00,0.971
284,10240,2048,32768,5973.31,TOPS,6155.00,0.970
285,10240,2048,38912,6033.88,TOPS,6219.00,0.970
286,3072,6144,30720,5383.04,TOPS,5547.00,0.970
287,8192,3072,40960,5847.78,TOPS,6027.00,0.970
288,5120,6144,18432,5758.69,TOPS,5944.00,0.969
289,7168,2048,36864,5621.10,TOPS,5803.00,0.969
290,7168,2048,45056,5671.91,TOPS,5851.00,0.969
291,7168,2048,47104,5682.28,TOPS,5867.00,0.969
292,7168,2048,67584,5762.62,TOPS,5947.00,0.969
293,10240,2048,28672,5927.65,TOPS,6123.00,0.968
294,4096,8192,20480,5382.73,TOPS,5563.00,0.968
295,4096,8192,26624,5474.04,TOPS,5656.00,0.968
296,5120,6144,14336,5618.51,TOPS,5803.00,0.968
297,6144,5120,18432,5743.42,TOPS,5931.00,0.968
298,8192,5120,16384,5743.51,TOPS,5931.00,0.968
299,3072,6144,22528,5266.30,TOPS,5451.00,0.966
300,5120,7168,14336,5638.78,TOPS,5835.00,0.966
301,7168,2048,57344,5731.32,TOPS,5931.00,0.966
302,3072,6144,18432,5170.19,TOPS,5355.00,0.965
303,3072,9216,22528,5292.29,TOPS,5483.00,0.965
304,7168,2048,38912,5627.04,TOPS,5835.00,0.964
305,10240,2048,30720,5943.44,TOPS,6171.00,0.963
306,6144,4096,16384,5447.27,TOPS,5659.00,0.963
307,6144,4096,22528,5616.38,TOPS,5835.00,0.963
308,10240,2048,18432,5705.73,TOPS,5931.00,0.962
309,10240,2048,22528,5810.46,TOPS,6043.00,0.962
310,3072,9216,20480,5256.62,TOPS,5467.00,0.962
311,5120,6144,12288,5506.94,TOPS,5723.00,0.962
312,4096,7168,14336,5308.25,TOPS,5531.00,0.960
313,8192,3072,24576,5678.15,TOPS,5915.00,0.960
314,6144,4096,20480,5564.63,TOPS,5803.00,0.959
315,5120,7168,12288,5527.26,TOPS,5771.00,0.958
316,4096,7168,12288,5212.93,TOPS,5451.00,0.956
317,5120,10240,14336,5669.88,TOPS,5931.00,0.956
318,6144,4096,12288,5255.79,TOPS,5499.00,0.956
319,6144,4096,24576,5650.39,TOPS,5912.00,0.956
320,3072,7168,73728,5219.26,TOPS,5467.00,0.955
321,5120,9216,16384,5740.93,TOPS,6011.00,0.955
322,8192,3072,14336,5409.71,TOPS,5675.00,0.953
323,2048,2048,88064,4930.61,TOPS,5179.00,0.952
324,8192,3072,18432,5555.74,TOPS,5835.00,0.952
325,5120,7168,10240,5399.32,TOPS,5675.00,0.951
326,6144,3072,34816,5425.47,TOPS,5707.00,0.951
327,2048,2048,71680,4904.96,TOPS,5163.00,0.950
328,6144,3072,18432,5177.20,TOPS,5451.00,0.950
329,9216,1024,34816,5360.52,TOPS,5659.00,0.947
330,2048,2048,83968,4913.87,TOPS,5195.00,0.946
331,3072,9216,16384,5155.16,TOPS,5451.00,0.946
332,6144,3072,22528,5262.54,TOPS,5563.00,0.946
333,9216,1024,43008,5429.69,TOPS,5739.00,0.946
334,2048,2048,120832,4970.26,TOPS,5259.00,0.945
335,2048,2048,124928,4968.15,TOPS,5259.00,0.945
336,2048,2048,129024,4969.84,TOPS,5259.00,0.945
337,2048,2048,67584,4891.06,TOPS,5176.00,0.945
338,2048,2048,73728,4892.97,TOPS,5176.00,0.945
339,9216,1024,59392,5514.60,TOPS,5835.00,0.945
340,2048,2048,116736,4962.62,TOPS,5259.00,0.944
341,2048,2048,75776,4903.27,TOPS,5192.00,0.944
342,9216,1024,49152,5465.65,TOPS,5787.00,0.944
343,9216,1024,51200,5478.88,TOPS,5803.00,0.944
344,2048,2048,110592,4957.63,TOPS,5259.00,0.943
345,2048,2048,94208,4945.13,TOPS,5243.00,0.943
346,6144,3072,20480,5231.46,TOPS,5547.00,0.943
347,8192,3072,12288,5320.42,TOPS,5643.00,0.943
348,9216,1024,38912,5399.10,TOPS,5723.00,0.943
349,9216,1024,57344,5502.40,TOPS,5835.00,0.943
350,2048,4096,75776,4952.41,TOPS,5259.00,0.942
351,9216,1024,40960,5420.08,TOPS,5755.00,0.942
352,2048,2048,114688,4961.97,TOPS,5275.00,0.941
353,2048,2048,98304,4950.76,TOPS,5259.00,0.941
354,2048,6144,38912,4859.96,TOPS,5163.00,0.941
355,2048,2048,100352,4945.61,TOPS,5259.00,0.940
356,2048,4096,40960,4836.78,TOPS,5147.00,0.940
357,1024,4096,65536,4848.88,TOPS,5163.00,0.939
358,2048,4096,49152,4874.43,TOPS,5192.00,0.939
359,2048,4096,51200,4880.53,TOPS,5195.00,0.939
360,4096,9216,14336,5137.13,TOPS,5483.00,0.937
361,2048,4096,38912,4825.29,TOPS,5163.00,0.935
362,1024,8192,59392,4905.05,TOPS,5259.00,0.933
363,2048,4096,57344,4906.73,TOPS,5259.00,0.933
364,2048,6144,26624,4754.54,TOPS,5115.00,0.930
365,4096,2048,53248,4889.97,TOPS,5259.00,0.930
366,2048,4096,94208,4973.26,TOPS,5355.00,0.929
367,2048,6144,30720,4797.23,TOPS,5163.00,0.929
368,2048,6144,45056,4887.51,TOPS,5259.00,0.929
369,4096,2048,38912,4822.10,TOPS,5192.00,0.929
370,4096,2048,49152,4886.17,TOPS,5259.00,0.929
371,4096,2048,51200,4883.49,TOPS,5259.00,0.929
372,3072,7168,16384,4804.65,TOPS,5179.00,0.928
373,4096,2048,47104,4873.80,TOPS,5259.00,0.927
374,4096,2048,69632,4935.71,TOPS,5323.00,0.927
375,1024,8192,36864,4780.42,TOPS,5163.00,0.926
376,3072,9216,10240,4857.17,TOPS,5243.00,0.926
377,2048,6144,28672,4774.15,TOPS,5163.00,0.925
378,2048,6144,34816,4831.54,TOPS,5224.00,0.925
379,3072,7168,18432,4864.64,TOPS,5259.00,0.925
380,5120,8192,8192,5221.99,TOPS,5643.00,0.925
381,1024,8192,49152,4857.71,TOPS,5259.00,0.924
382,2048,8192,16384,4604.28,TOPS,4987.00,0.923
383,1024,8192,38912,4804.90,TOPS,5211.00,0.922
384,1024,8192,47104,4848.73,TOPS,5259.00,0.922
385,3072,4096,22528,4674.23,TOPS,5067.00,0.922
386,4096,2048,43008,4848.54,TOPS,5259.00,0.922
387,4096,3072,30720,4800.33,TOPS,5208.00,0.922
388,4096,9216,10240,4937.07,TOPS,5355.00,0.922
389,3072,4096,34816,4812.58,TOPS,5227.00,0.921
390,3072,4096,36864,4826.31,TOPS,5243.00,0.921
391,4096,3072,26624,4754.90,TOPS,5163.00,0.921
392,8192,4096,14336,5195.68,TOPS,5643.00,0.921
393,2048,8192,24576,4746.45,TOPS,5163.00,0.919
394,2048,8192,18432,4647.65,TOPS,5064.00,0.918
395,4096,3072,24576,4726.73,TOPS,5147.00,0.918
396,7168,4096,14336,5235.20,TOPS,5707.00,0.917
397,2048,6144,24576,4729.11,TOPS,5163.00,0.916
398,4096,3072,32768,4810.86,TOPS,5259.00,0.915
399,4096,4096,22528,4720.77,TOPS,5179.00,0.912
400,10240,3072,12288,5404.02,TOPS,5931.00,0.911
401,4096,4096,20480,4685.69,TOPS,5147.00,0.910
402,4096,4096,18432,4648.72,TOPS,5115.00,0.909
403,6144,2048,28672,4759.48,TOPS,5291.00,0.900
404,7168,10240,118784,5473.57,TOPS,6603.00,0.829
405,7168,10240,126976,5443.13,TOPS,6603.00,0.824
