排名,矩阵M,矩阵N,矩阵K,计算性能,性能单位,整机功耗(W),整机能效比(性能单位/W)
37,1024,10240,51200,6301.81,TOPS,6041.00,1.043
38,3072,5120,28672,6214.91,TOPS,5958.00,1.043
39,4096,5120,20480,6047.15,TOPS,5798.00,1.043
40,5120,2048,40960,6296.15,TOPS,6038.00,1.043
41,5120,3072,26624,6111.01,TOPS,5859.00,1.043
42,2048,5120,71680,6563.35,TOPS,6297.00,1.042
43,3072,5120,26624,6146.89,TOPS,5897.00,1.042
44,3072,5120,45056,6460.53,TOPS,6198.00,1.042
45,2048,10240,26624,6237.36,TOPS,6006.00,1.039
46,1024,10240,45056,6327.64,TOPS,6102.00,1.037
47,4096,5120,22528,6157.77,TOPS,5939.00,1.037
48,5120,1024,65536,6640.07,TOPS,6406.00,1.037
49,5120,2048,69632,6562.47,TOPS,6329.00,1.037
50,5120,3072,30720,6213.34,TOPS,5990.00,1.037
51,2048,10240,24576,6189.43,TOPS,5974.00,1.036
52,2048,5120,34816,6392.88,TOPS,6169.00,1.036
53,1024,10240,61440,6454.15,TOPS,6233.00,1.035
54,3072,5120,51200,6518.63,TOPS,6297.00,1.035
55,2048,10240,34816,6427.86,TOPS,6217.00,1.034
56,2048,5120,75776,6579.90,TOPS,6361.00,1.034
57,2048,5120,77824,6625.05,TOPS,6409.00,1.034
58,4096,5120,30720,6363.96,TOPS,6169.00,1.032
59,2048,5120,90112,6668.10,TOPS,6470.00,1.031
60,5120,2048,71680,6549.94,TOPS,6361.00,1.030
61,5120,2048,51200,6378.48,TOPS,6201.00,1.029
62,5120,2048,86016,6638.51,TOPS,6457.00,1.028
63,5120,3072,51200,6546.95,TOPS,6377.00,1.027
64,2048,5120,92160,6705.12,TOPS,6537.00,1.026
65,3072,5120,53248,6550.20,TOPS,6390.00,1.025
66,1024,10240,63488,6478.65,TOPS,6329.00,1.024
67,3072,5120,30720,6200.28,TOPS,6054.00,1.024
68,2048,5120,63488,6532.60,TOPS,6390.00,1.022
69,4096,5120,34816,6420.86,TOPS,6281.00,1.022
70,5120,1024,63488,6541.19,TOPS,6406.00,1.021
71,2048,5120,100352,6734.69,TOPS,6601.00,1.020
72,3072,5120,34816,6288.48,TOPS,6164.00,1.020
73,4096,5120,32768,6391.34,TOPS,6268.00,1.020
74,5120,3072,32768,6257.70,TOPS,6137.00,1.020
75,5120,4096,30720,6310.61,TOPS,6185.00,1.020
76,1024,10240,30720,6426.90,TOPS,6310.00,1.019
77,3072,5120,38912,6361.96,TOPS,6246.00,1.019
78,2048,5120,67584,6589.44,TOPS,6473.00,1.018
79,5120,2048,63488,6514.50,TOPS,6406.00,1.017
80,5120,3072,24576,6180.24,TOPS,6076.00,1.017
81,5120,3072,38912,6364.94,TOPS,6294.00,1.011
82,4096,5120,16384,6157.67,TOPS,6105.00,1.009
83,5120,3072,20480,6308.07,TOPS,6249.00,1.009
84,2048,7168,24576,5782.16,TOPS,5750.00,1.006
85,10240,1024,47104,6351.16,TOPS,6326.00,1.004
86,3072,5120,20480,6280.82,TOPS,6262.00,1.003
87,5120,2048,96256,6719.28,TOPS,6697.00,1.003
88,2048,10240,51200,6631.94,TOPS,6620.00,1.002
89,4096,6144,26624,6080.66,TOPS,6089.00,0.999
90,3072,10240,18432,6050.82,TOPS,6073.00,0.996
91,3072,10240,22528,6217.69,TOPS,6249.00,0.995
92,5120,5120,24576,6243.56,TOPS,6294.00,0.992
93,10240,1024,59392,6451.11,TOPS,6518.00,0.990
94,4096,6144,30720,6184.63,TOPS,6246.00,0.990
95,10240,1024,63488,6488.82,TOPS,6569.00,0.988
96,10240,1024,32768,6458.10,TOPS,6614.00,0.976
97,3072,10240,20480,6159.77,TOPS,6339.00,0.972
98,4096,1024,65536,5337.07,TOPS,5577.00,0.957
99,2048,2048,65536,5420.81,TOPS,5782.00,0.938
100,2048,3072,104448,4076.21,TOPS,5145.00,0.792
