排名,矩阵M,矩阵N,矩阵K,计算性能,性能单位,整机功耗(W),整机能效比(性能单位/W)
294,3072,5120,98304,6836.46,TOPS,6910.00,0.989
295,4096,7168,34816,6122.00,TOPS,6187.00,0.989
296,8192,3072,14336,5625.70,TOPS,5691.00,0.989
297,3072,5120,129024,6919.03,TOPS,7006.00,0.988
298,4096,8192,20480,5767.19,TOPS,5835.00,0.988
299,2048,2048,88064,5171.67,TOPS,5240.00,0.987
300,3072,9216,20480,5602.44,TOPS,5678.00,0.987
301,2048,2048,110592,5218.72,TOPS,5291.00,0.986
302,3072,3072,108544,6101.09,TOPS,6187.00,0.986
303,3072,3072,59392,5847.76,TOPS,5931.00,0.986
304,3072,9216,22528,5625.71,TOPS,5707.00,0.986
305,4096,5120,71680,6784.16,TOPS,6878.00,0.986
306,7168,2048,57344,6147.91,TOPS,6235.00,0.986
307,10240,2048,38912,6440.24,TOPS,6539.00,0.985
308,2048,2048,98304,5193.87,TOPS,5275.00,0.985
309,3072,6144,53248,5989.81,TOPS,6078.00,0.985
310,3072,3072,106496,6071.33,TOPS,6171.00,0.984
311,9216,1024,49152,5744.50,TOPS,5835.00,0.984
312,2048,7168,94208,6366.85,TOPS,6475.00,0.983
313,2048,9216,61440,6065.42,TOPS,6171.00,0.983
314,6144,4096,24576,5971.00,TOPS,6075.00,0.983
315,3072,6144,30720,5714.67,TOPS,5819.00,0.982
316,6144,4096,22528,5904.35,TOPS,6011.00,0.982
317,4096,7168,36864,6162.56,TOPS,6283.00,0.981
318,6144,3072,34816,5785.67,TOPS,5899.00,0.981
319,1024,4096,65536,5246.13,TOPS,5352.00,0.980
320,2048,4096,40960,5070.26,TOPS,5176.00,0.980
321,3072,9216,16384,5389.75,TOPS,5499.00,0.980
322,4096,7168,12288,5480.86,TOPS,5592.00,0.980
323,6144,3072,22528,5497.83,TOPS,5608.00,0.980
324,6144,4096,38912,6267.10,TOPS,6395.00,0.980
325,9216,1024,57344,5795.47,TOPS,5915.00,0.980
326,1024,8192,36864,4982.41,TOPS,5096.00,0.978
327,2048,2048,71680,5173.55,TOPS,5288.00,0.978
328,3072,5120,124928,6913.24,TOPS,7070.00,0.978
329,8192,3072,24576,6006.83,TOPS,6139.00,0.978
330,2048,2048,124928,5295.28,TOPS,5419.00,0.977
331,2048,6144,30720,5010.10,TOPS,5128.00,0.977
332,2048,2048,100352,5177.55,TOPS,5304.00,0.976
333,2048,9216,59392,6053.26,TOPS,6203.00,0.976
334,4096,8192,26624,5881.75,TOPS,6027.00,0.976
335,6144,5120,18432,6022.98,TOPS,6171.00,0.976
336,10240,2048,28672,6263.39,TOPS,6427.00,0.975
337,2048,6144,24576,4972.50,TOPS,5099.00,0.975
338,3072,4096,36864,5082.83,TOPS,5211.00,0.975
339,5120,3072,120832,6893.43,TOPS,7070.00,0.975
340,2048,2048,67584,5279.63,TOPS,5419.00,0.974
341,2048,2048,94208,5186.90,TOPS,5323.00,0.974
342,2048,6144,26624,4965.93,TOPS,5099.00,0.974
343,5120,10240,14336,6004.67,TOPS,6168.00,0.974
344,5120,9216,16384,6103.98,TOPS,6267.00,0.974
345,2048,4096,38912,5071.10,TOPS,5211.00,0.973
346,5120,9216,20480,6285.75,TOPS,6459.00,0.973
347,6144,3072,20480,5486.68,TOPS,5640.00,0.973
348,6144,4096,12288,5716.43,TOPS,5883.00,0.972
349,1024,8192,38912,4978.21,TOPS,5128.00,0.971
350,2048,2048,83968,5150.89,TOPS,5304.00,0.971
351,4096,2048,47104,5113.86,TOPS,5272.00,0.970
352,7168,2048,65536,6237.15,TOPS,6430.00,0.970
353,8192,3072,40960,6339.85,TOPS,6542.00,0.969
354,2048,2048,129024,5319.94,TOPS,5499.00,0.967
355,2048,4096,51200,5126.46,TOPS,5304.00,0.967
356,6144,3072,18432,5363.12,TOPS,5547.00,0.967
357,2048,4096,49152,5078.95,TOPS,5256.00,0.966
358,2048,6144,28672,4998.13,TOPS,5176.00,0.966
359,4096,2048,51200,5139.74,TOPS,5320.00,0.966
360,2048,2048,120832,5277.48,TOPS,5467.00,0.965
361,2048,2048,114688,5220.42,TOPS,5416.00,0.964
362,3072,7168,18432,5071.19,TOPS,5259.00,0.964
363,4096,3072,26624,4944.54,TOPS,5128.00,0.964
364,2048,6144,38912,5128.36,TOPS,5323.00,0.963
365,4096,2048,43008,5094.60,TOPS,5291.00,0.963
366,4096,3072,24576,4938.06,TOPS,5128.00,0.963
367,3072,4096,34816,5070.73,TOPS,5272.00,0.962
368,7168,4096,14336,5433.55,TOPS,5656.00,0.961
369,1024,8192,47104,5062.87,TOPS,5272.00,0.960
370,1024,8192,49152,5109.30,TOPS,5323.00,0.960
371,2048,4096,57344,5168.40,TOPS,5384.00,0.960
372,2048,4096,75776,5294.43,TOPS,5515.00,0.960
373,5120,8192,8192,5397.33,TOPS,5624.00,0.960
374,4096,3072,32768,5029.50,TOPS,5243.00,0.959
375,4096,9216,10240,5150.65,TOPS,5371.00,0.959
376,3072,7168,16384,5039.94,TOPS,5259.00,0.958
377,2048,8192,18432,4835.41,TOPS,5051.00,0.957
378,4096,9216,14336,5382.88,TOPS,5627.00,0.957
379,8192,3072,12288,5740.20,TOPS,5995.00,0.957
380,2048,8192,16384,4950.41,TOPS,5179.00,0.956
381,4096,2048,38912,5023.87,TOPS,5256.00,0.956
382,4096,2048,53248,5132.46,TOPS,5368.00,0.956
383,8192,4096,14336,5424.62,TOPS,5675.00,0.956
384,2048,8192,24576,4974.96,TOPS,5208.00,0.955
385,4096,2048,49152,5127.18,TOPS,5368.00,0.955
386,4096,3072,30720,5033.93,TOPS,5269.00,0.955
387,10240,3072,12288,5547.53,TOPS,5816.00,0.954
388,2048,6144,34816,5064.71,TOPS,5307.00,0.954
389,2048,2048,116736,5242.08,TOPS,5499.00,0.953
390,4096,4096,18432,4853.61,TOPS,5096.00,0.952
391,4096,2048,69632,5274.63,TOPS,5547.00,0.951
392,4096,4096,22528,4938.42,TOPS,5195.00,0.951
393,5120,9216,38912,6678.46,TOPS,7019.00,0.951
394,2048,10240,14336,6084.49,TOPS,6408.00,0.950
395,7168,2048,67584,6244.39,TOPS,6571.00,0.950
396,2048,6144,45056,5202.54,TOPS,5483.00,0.949
397,4096,4096,20480,4896.27,TOPS,5163.00,0.948
398,2048,4096,94208,5382.87,TOPS,5691.00,0.946
399,3072,9216,10240,5217.21,TOPS,5547.00,0.941
400,3072,4096,22528,5020.36,TOPS,5352.00,0.938
401,3072,7168,73728,5757.04,TOPS,6174.00,0.932
402,1024,8192,59392,5170.44,TOPS,5563.00,0.929
403,6144,2048,28672,4996.25,TOPS,5400.00,0.925
404,7168,10240,126976,6596.13,TOPS,7825.00,0.843
405,7168,10240,118784,6571.23,TOPS,7854.00,0.837
