GPU,M,N,K,Iterations,Performance,Performance_Unit,Efficiency,Time,Interval,Samples,Min_Power,Max_Power,Avg_Power
4,1024,3072,14336,17600,369.718096,TOPS,1.207085,1763522588311,5.052000,42,279.00,310.00,306.29
5,1024,3072,16384,13400,380.538730,TOPS,1.231955,1763522587678,4.256000,36,268.00,313.00,308.89
7,1024,3072,18432,11734,386.791344,TOPS,1.286517,1763522588122,4.075000,34,260.00,304.00,300.65
6,1024,3072,20480,11334,392.440813,TOPS,1.379890,1763522616316,4.256000,5,255.00,300.00,284.40
4,1024,3072,22528,10934,390.915843,TOPS,1.220505,1763522616946,4.537000,38,281.00,323.00,320.29
2,1024,3072,24576,10534,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,1024,3072,26624,10134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,1024,3072,28672,9200,403.815363,TOPS,1.239495,1763522645675,4.586000,39,275.00,330.00,325.79
7,1024,3072,30720,8000,407.990526,TOPS,1.273338,1763522646265,4.175000,34,292.00,323.00,320.41
6,1024,3072,32768,7810,408.394511,TOPS,1.304649,1763522645783,4.354000,37,272.00,316.00,313.03
3,1024,3072,34816,7619,407.234936,TOPS,1.249301,1763522647172,4.516000,38,287.00,329.00,325.97
7,1024,3072,36864,7428,411.788662,TOPS,1.269189,1763522677043,4.543000,38,276.00,328.00,324.45
5,1024,3072,38912,7237,415.180455,TOPS,1.216788,1763522677771,4.604000,38,303.00,346.00,341.21
1,1024,3072,40960,7046,411.928070,TOPS,1.227108,1763522677805,4.791000,39,305.00,339.00,335.69
3,1024,3072,43008,6855,413.289816,TOPS,1.243051,1763522678311,4.858000,40,293.00,335.00,332.48
2,1024,3072,45056,6664,417.188320,TOPS,1.239639,1763522709353,4.883000,41,288.00,340.00,336.54
6,1024,3072,47104,6473,417.787700,TOPS,1.293660,1763522709265,4.939000,42,280.00,325.00,322.95
5,1024,3072,49152,6282,419.472986,TOPS,1.211089,1763522710821,4.947000,42,296.00,351.00,346.36
7,1024,3072,51200,6091,417.958957,TOPS,1.267156,1763522710730,5.058000,43,279.00,334.00,329.84
5,1024,3072,53248,5900,421.132157,TOPS,1.207097,1763522742952,4.996000,42,312.00,351.00,348.88
7,1024,3072,55296,5710,418.952656,TOPS,1.263237,1763522743802,5.076000,43,279.00,335.00,331.65
0,1024,3072,57344,5519,422.395691,TOPS,1.240078,1763522743681,5.014000,42,310.00,343.00,340.62
6,1024,3072,59392,5328,420.583313,TOPS,1.286266,1763522744247,5.041000,42,298.00,330.00,326.98
3,1024,3072,61440,5137,423.336302,TOPS,1.241528,1763522778113,4.966000,42,285.00,344.00,340.98
4,1024,3072,63488,4946,423.726754,TOPS,1.196224,1763522778220,4.926000,41,299.00,357.00,354.22
6,1024,3072,65536,4755,424.347263,TOPS,1.282480,1763522778682,4.870000,41,289.00,333.00,330.88
5,1024,4096,4096,30000,320.595510,TOPS,1.142128,1763522770835,3.971000,33,245.00,284.00,280.70
0,1024,4096,6144,25000,380.579885,TOPS,1.224950,1763522805336,3.899000,32,273.00,320.00,310.69
6,1024,4096,8192,20000,420.493735,TOPS,1.316181,1763522805499,3.669000,31,270.00,327.00,319.48
3,1024,4096,10240,19000,67.153890,TOPS,.230745,1763522806191,25.323000,219,243.00,293.00,291.03
5,1024,4096,12288,13400,68.298208,TOPS,.226844,1763522806695,20.888000,181,263.00,302.00,301.08
0,1024,4096,14336,11600,476.477658,TOPS,1.411576,1763522854715,3.530000,29,296.00,342.00,337.55
7,1024,4096,16384,11067,495.229679,TOPS,1.424752,1763522855004,3.561000,29,315.00,352.00,347.59
4,1024,4096,18432,10534,505.045787,TOPS,1.384407,1763522854375,3.731000,31,300.00,371.00,364.81
6,1024,4096,20480,10000,508.310465,TOPS,1.449086,1763522855471,3.890000,32,304.00,358.00,350.78
0,1024,4096,22528,8400,518.721513,TOPS,1.408765,1763522883423,3.498000,28,332.00,371.00,368.21
1,1024,4096,24576,7810,525.887254,TOPS,1.387052,1763522883637,3.442000,29,307.00,385.00,379.14
3,1024,4096,26624,7555,524.051799,TOPS,1.392273,1763522883948,3.609000,30,313.00,382.00,376.40
2,1024,4096,28672,7300,532.971933,TOPS,1.417101,1763522884465,3.662000,30,326.00,380.00,376.10
0,1024,4096,30720,7046,538.143983,TOPS,1.400468,1763522913448,3.747000,31,345.00,387.00,384.26
6,1024,4096,32768,6791,534.972362,TOPS,1.438948,1763522914377,3.883000,32,329.00,377.00,371.78
3,1024,4096,34816,6537,542.022393,TOPS,1.380386,1763522914540,3.861000,32,349.00,396.00,392.66
1,1024,4096,36864,6282,543.507517,TOPS,1.377014,1763522914158,3.913000,33,319.00,400.00,394.70
7,1024,4096,38912,6028,544.327340,TOPS,1.417297,1763522945120,3.911000,33,321.00,390.00,384.06
6,1024,4096,40960,5773,548.384557,TOPS,1.420795,1763522945613,3.911000,32,342.00,389.00,385.97
3,1024,4096,43008,5519,550.122058,TOPS,1.380551,1763522946000,3.916000,33,327.00,404.00,398.48
0,1024,4096,45056,5264,550.758436,TOPS,1.388840,1763522946304,3.890000,32,337.00,402.00,396.56
5,1024,4096,47104,5010,554.839416,TOPS,1.362070,1763522978099,3.811000,31,367.00,410.00,407.35
4,1024,4096,49152,4755,552.618565,TOPS,1.367326,1763522979137,3.825000,31,364.00,407.00,404.16
7,1024,4096,51200,4500,557.017633,TOPS,1.408566,1763522979139,3.690000,31,342.00,400.00,395.45
3,1024,4096,53248,4446,558.039172,TOPS,1.374074,1763522980056,3.799000,32,338.00,412.00,406.12
5,1024,4096,55296,4391,559.131728,TOPS,1.367705,1763523013238,3.881000,32,347.00,413.00,408.81
1,1024,4096,57344,4337,559.546951,TOPS,1.358519,1763523013539,3.961000,33,356.00,416.00,411.88
3,1024,4096,59392,4282,562.011989,TOPS,1.367625,1763523014209,4.028000,34,353.00,415.00,410.94
0,1024,4096,61440,4228,559.913563,TOPS,1.380593,1763523014141,4.140000,34,365.00,409.00,405.56
1,1024,4096,63488,4173,562.593905,TOPS,1.358627,1763523048952,4.181000,35,343.00,419.00,414.09
6,1024,4096,65536,4119,561.694222,TOPS,1.408955,1763523049450,4.269000,35,357.00,402.00,398.66
3,1024,5120,6144,21250,450.234275,TOPS,1.324608,1763523039914,3.522000,29,302.00,348.00,339.90
2,1024,5120,8192,19000,497.023636,TOPS,1.398412,1763523040457,3.762000,31,314.00,359.00,355.42
7,1024,5120,10240,12000,543.332644,TOPS,1.428920,1763523076427,2.601000,21,342.00,385.00,380.24
1,1024,5120,12288,11334,68.303836,TOPS,.226599,1763523076621,22.017000,190,256.00,302.00,301.43
2,1024,5120,14336,10667,68.955726,TOPS,.233771,1763523076848,23.861000,206,268.00,297.00,294.97
4,1024,5120,16384,10000,605.842768,TOPS,1.479686,1763523078021,3.301000,27,360.00,417.00,409.44
5,1024,5120,18432,8000,623.024381,TOPS,1.487251,1763523124068,2.836000,23,367.00,424.00,418.91
6,1024,5120,20480,7682,629.801385,TOPS,1.568933,1763523124171,2.991000,24,355.00,406.00,401.42
4,1024,5120,22528,7364,635.976394,TOPS,1.469989,1763523125244,3.076000,25,389.00,437.00,432.64
3,1024,5120,24576,7046,640.810504,TOPS,1.530878,1763523125626,3.236000,27,359.00,424.00,418.59
5,1024,5120,26624,6728,654.319816,TOPS,1.480998,1763523154553,3.180000,26,383.00,447.00,441.81
0,1024,5120,28672,6410,658.539902,TOPS,1.511834,1763523155306,3.254000,27,380.00,440.00,435.59
3,1024,5120,30720,6091,665.734218,TOPS,1.515960,1763523155218,3.257000,27,368.00,445.00,439.15
2,1024,5120,32768,5773,665.752561,TOPS,1.527375,1763523155939,3.275000,26,390.00,441.00,435.88
4,1024,5120,34816,5455,672.485023,TOPS,1.461447,1763523185657,3.212000,26,385.00,467.00,460.15
3,1024,5120,36864,5137,673.940036,TOPS,1.505876,1763523186738,3.222000,26,395.00,452.00,447.54
1,1024,5120,38912,4819,673.499382,TOPS,1.489416,1763523187346,3.179000,26,397.00,458.00,452.19
0,1024,5120,40960,4500,676.549436,TOPS,1.500375,1763523187798,3.099000,25,396.00,456.00,450.92
5,1024,5120,43008,4432,682.337435,TOPS,1.478520,1763523219985,3.152000,26,376.00,469.00,461.50
3,1024,5120,45056,4364,686.625737,TOPS,1.500558,1763523219692,3.238000,26,405.00,462.00,457.58
6,1024,5120,47104,4296,689.034174,TOPS,1.541842,1763523220237,3.302000,27,389.00,452.00,446.89
2,1024,5120,49152,4228,686.380975,TOPS,1.522280,1763523221121,3.410000,28,391.00,456.00,450.89
3,1024,5120,51200,4160,692.936437,TOPS,1.492464,1763523253904,3.441000,28,413.00,469.00,464.29
2,1024,5120,53248,4091,696.916618,TOPS,1.518899,1763523255316,3.488000,29,381.00,465.00,458.83
6,1024,5120,55296,4023,694.185659,TOPS,1.536965,1763523255895,3.579000,29,392.00,457.00,451.66
4,1024,5120,57344,3955,694.372911,TOPS,1.454732,1763523255837,3.654000,31,382.00,486.00,477.32
1,1024,5120,59392,3887,696.717131,TOPS,1.475564,1763523291678,3.688000,30,422.00,476.00,472.17
3,1024,5120,61440,3819,699.524643,TOPS,1.501544,1763523291759,3.739000,31,375.00,474.00,465.87
0,1024,5120,63488,3750,697.838186,TOPS,1.479567,1763523292903,3.784000,31,415.00,477.00,471.65
7,1024,5120,65536,3682,701.549982,TOPS,1.530498,1763523292921,3.802000,32,395.00,463.00,458.38
3,1024,6144,6144,19500,326.260278,TOPS,1.161936,1763523319329,5.524000,47,254.00,286.00,280.79
4,1024,6144,8192,13400,351.677937,TOPS,1.170620,1763523319232,4.575000,38,273.00,304.00,300.42
5,1024,6144,10240,11334,365.768190,TOPS,1.192437,1763523319708,4.537000,38,263.00,310.00,306.74
2,1024,6144,12288,10534,374.417554,TOPS,1.232934,1763523320564,4.923000,41,277.00,306.00,303.68
2,1024,6144,14336,9200,382.016012,TOPS,1.236497,1763523349557,4.836000,41,269.00,312.00,308.95
7,1024,6144,16384,7810,391.067298,TOPS,1.262240,1763523349355,4.508000,38,259.00,313.00,309.82
3,1024,6144,18432,7428,395.620535,TOPS,1.218156,1763523350213,4.754000,39,293.00,327.00,324.77
4,1024,6144,20480,7046,397.637658,TOPS,1.203758,1763523351276,4.979000,42,289.00,333.00,330.33
5,1024,6144,22528,6664,403.575538,TOPS,1.205134,1763523382133,5.028000,42,304.00,337.00,334.88
3,1024,6144,24576,6282,407.382656,TOPS,1.220731,1763523382102,5.104000,43,289.00,336.00,333.72
6,1024,6144,26624,5900,409.134657,TOPS,1.273451,1763523383833,5.141000,43,282.00,324.00,321.28
1,1024,6144,28672,5519,409.696342,TOPS,1.208365,1763523383078,5.176000,43,308.00,342.00,339.05
4,1024,6144,30720,5137,411.575334,TOPS,1.203120,1763523416943,5.131000,43,299.00,345.00,342.09
2,1024,6144,32768,4755,414.875007,TOPS,1.248983,1763523416607,4.995000,42,286.00,335.00,332.17
3,1024,6144,34816,4473,414.954937,TOPS,1.220455,1763523417753,4.970000,42,284.00,343.00,340.00
5,1024,6144,36864,4391,416.809628,TOPS,1.208844,1763523418076,5.127000,44,284.00,348.00,344.80
3,1024,6144,38912,4310,419.908714,TOPS,1.222406,1763523452145,5.260000,45,283.00,347.00,343.51
7,1024,6144,40960,4228,417.406533,TOPS,1.265290,1763523453425,5.481000,46,299.00,332.00,329.89
5,1024,6144,43008,4146,421.161960,TOPS,1.205938,1763523453595,5.554000,46,314.00,351.00,349.24
6,1024,6144,45056,4064,421.761512,TOPS,1.274781,1763523454048,5.727000,48,300.00,333.00,330.85
3,1024,6144,47104,3982,422.376620,TOPS,1.219296,1763523490417,5.812000,49,291.00,349.00,346.41
4,1024,6144,49152,3900,423.123287,TOPS,1.193039,1763523491252,5.911000,50,317.00,357.00,354.66
5,1024,6144,51200,3819,423.326904,TOPS,1.212449,1763523492330,6.071000,52,298.00,352.00,349.15
6,1024,6144,53248,3737,424.967187,TOPS,1.271253,1763523492314,6.102000,52,282.00,337.00,334.29
4,1024,6144,55296,3655,425.505531,TOPS,1.192961,1763523530979,6.171000,53,304.00,359.00,356.68
2,1024,6144,57344,3573,425.761545,TOPS,1.247689,1763523532157,6.268000,54,288.00,344.00,341.24
6,1024,6144,59392,3491,426.316281,TOPS,1.270045,1763523532612,6.335000,54,297.00,338.00,335.67
7,1024,6144,61440,3410,426.771926,TOPS,1.264172,1763523533619,6.374000,54,292.00,340.00,337.59
6,1024,6144,63488,3328,427.792979,TOPS,1.268511,1763523574943,6.410000,54,303.00,339.00,337.24
0,1024,6144,65536,3246,427.828811,TOPS,1.225028,1763523575093,6.458000,55,298.00,352.00,349.24
3,1024,7168,8192,11600,401.123502,TOPS,1.269981,1763523562919,4.065000,34,281.00,319.00,315.85
5,1024,7168,10240,10667,421.029156,TOPS,1.254818,1763523563840,4.314000,36,292.00,340.00,335.53
2,1024,7168,12288,9200,436.594902,TOPS,1.308816,1763523605228,4.280000,36,298.00,337.00,333.58
7,1024,7168,14336,7746,446.731999,TOPS,1.335401,1763523605897,4.022000,34,276.00,339.00,334.53
0,1024,7168,16384,7300,451.972541,TOPS,1.293975,1763523606716,4.272000,35,318.00,352.00,349.29
6,1024,7168,18432,6855,459.854433,TOPS,1.346020,1763523606945,4.382000,36,311.00,344.00,341.64
0,1024,7168,20480,6410,464.981733,TOPS,1.299702,1763523636728,4.497000,38,309.00,361.00,357.76
1,1024,7168,22528,5964,469.115744,TOPS,1.285530,1763523637314,4.526000,38,301.00,369.00,364.92
7,1024,7168,24576,5519,474.102260,TOPS,1.333771,1763523638122,4.461000,37,322.00,359.00,355.46
6,1024,7168,26624,5073,473.920431,TOPS,1.355413,1763523638198,4.502000,37,311.00,353.00,349.65
1,1024,7168,28672,4628,478.654852,TOPS,1.282672,1763523670805,4.319000,36,324.00,376.00,373.17
7,1024,7168,30720,4432,479.065034,TOPS,1.342746,1763523671872,4.443000,37,323.00,360.00,356.78
3,1024,7168,32768,4337,482.987051,TOPS,1.301115,1763523671912,4.567000,38,319.00,375.00,371.21
4,1024,7168,34816,4241,484.383871,TOPS,1.266296,1763523672290,4.705000,40,311.00,387.00,382.52
3,1024,7168,36864,4146,484.727031,TOPS,1.293985,1763523707090,4.862000,40,337.00,378.00,374.60
2,1024,7168,38912,4050,485.184064,TOPS,1.311237,1763523707833,4.989000,42,316.00,374.00,370.02
1,1024,7168,40960,3955,487.066159,TOPS,1.283881,1763523708536,5.114000,43,307.00,383.00,379.37
6,1024,7168,43008,3860,489.917172,TOPS,1.343711,1763523708789,5.194000,43,326.00,367.00,364.60
6,1024,7168,45056,3764,491.569842,TOPS,1.342170,1763523746387,5.277000,44,327.00,369.00,366.25
1,1024,7168,47104,3669,490.983877,TOPS,1.279136,1763523746642,5.384000,45,331.00,387.00,383.84
3,1024,7168,49152,3573,492.438131,TOPS,1.296572,1763523747313,5.447000,46,315.00,383.00,379.80
4,1024,7168,51200,3478,494.810847,TOPS,1.255100,1763523747833,5.470000,46,347.00,397.00,394.24
3,1024,7168,53248,3382,495.498893,TOPS,1.291303,1763523787609,5.535000,46,335.00,386.00,383.72
0,1024,7168,55296,3287,495.354833,TOPS,1.294131,1763523788566,5.599000,47,322.00,386.00,382.77
6,1024,7168,57344,3191,495.308641,TOPS,1.346715,1763523789226,5.686000,48,326.00,371.00,367.79
7,1024,7168,59392,3096,497.677590,TOPS,1.333862,1763523789137,5.589000,47,326.00,376.00,373.11
1,1024,7168,61440,3000,497.074073,TOPS,1.281515,1763523831540,5.624000,48,313.00,392.00,387.88
5,1024,7168,63488,2905,497.022764,TOPS,1.269793,1763523832249,5.636000,48,328.00,395.00,391.42
3,1024,7168,65536,2810,499.396419,TOPS,1.289996,1763523832318,5.576000,47,317.00,391.00,387.13
7,1024,8192,8192,11067,459.322106,TOPS,1.370170,1763523817889,3.838000,31,305.00,339.00,335.23
3,1024,8192,10240,10000,483.778937,TOPS,1.349152,1763523861574,4.036000,33,317.00,362.00,358.58
2,1024,8192,12288,7810,75.358893,TOPS,.251079,1763523862139,21.822000,189,266.00,301.00,300.14
6,1024,8192,14336,7300,509.662419,TOPS,1.417067,1763523862755,3.818000,32,296.00,364.00,359.66
4,1024,8192,16384,6791,518.463408,TOPS,1.326095,1763523863688,3.931000,32,348.00,394.00,390.97
3,1024,8192,18432,6282,520.692402,TOPS,1.365285,1763523910269,4.076000,34,325.00,385.00,381.38
1,1024,8192,20480,5773,526.876814,TOPS,1.348925,1763523910836,4.081000,34,329.00,395.00,390.59
5,1024,8192,22528,5264,529.774160,TOPS,1.342696,1763523911026,4.055000,34,336.00,399.00,394.56
6,1024,8192,24576,4755,540.767247,TOPS,1.404152,1763523911283,3.852000,32,347.00,388.00,385.12
7,1024,8192,26624,4446,540.380410,TOPS,1.397631,1763523942989,3.906000,33,336.00,393.00,386.64
1,1024,8192,28672,4337,543.800775,TOPS,1.349884,1763523943607,4.082000,34,338.00,409.00,402.85
4,1024,8192,30720,4228,548.447949,TOPS,1.322740,1763523945627,4.200000,35,365.00,419.00,414.63
5,1024,8192,32768,4119,550.509345,TOPS,1.359752,1763523945554,4.454000,37,358.00,416.00,404.86
1,1024,8192,34816,4010,553.443927,TOPS,1.347365,1763523981121,4.448000,38,329.00,416.00,410.76
7,1024,8192,36864,3900,554.987445,TOPS,1.395176,1763523981043,4.562000,38,354.00,401.00,397.79
5,1024,8192,38912,3791,556.574208,TOPS,1.334550,1763523982225,4.658000,39,371.00,420.00,417.05
0,1024,8192,40960,3682,557.972876,TOPS,1.367077,1763523982412,4.747000,40,332.00,413.00,408.15
6,1024,8192,43008,3573,560.095935,TOPS,1.412243,1763524019281,4.821000,40,349.00,401.00,396.60
4,1024,8192,45056,3464,560.819751,TOPS,1.321846,1763524021276,4.861000,41,346.00,429.00,424.27
7,1024,8192,47104,3355,560.444379,TOPS,1.400760,1763524021678,4.953000,42,336.00,405.00,400.10
5,1024,8192,49152,3246,562.952250,TOPS,1.331863,1763524022185,4.935000,41,362.00,427.00,422.68
2,1024,8192,51200,3137,563.661361,TOPS,1.370571,1763524062015,4.962000,42,356.00,416.00,411.26
1,1024,8192,53248,3028,565.166665,TOPS,1.346019,1763524063334,4.962000,42,341.00,425.00,419.88
4,1024,8192,55296,2919,564.494268,TOPS,1.318480,1763524063975,4.990000,42,378.00,431.00,428.14
0,1024,8192,57344,2810,567.465206,TOPS,1.359947,1763524064094,4.933000,41,372.00,421.00,417.27
6,1024,8192,59392,2700,567.763807,TOPS,1.405008,1763524106014,4.893000,41,350.00,407.00,404.10
0,1024,8192,61440,2591,567.858980,TOPS,1.359945,1763524107390,4.869000,41,370.00,420.00,417.56
5,1024,8192,63488,2482,567.212295,TOPS,1.336220,1763524108549,4.826000,41,348.00,429.00,424.49
4,1024,8192,65536,2373,567.812528,TOPS,1.322739,1763524109143,4.757000,40,344.00,435.00,429.27
4,1024,9216,10240,8000,532.946918,TOPS,1.363035,1763524137593,3.271000,27,352.00,395.00,391.00
0,1024,9216,12288,7428,75.915988,TOPS,.250275,1763524138272,23.144000,201,273.00,305.00,303.33
1,1024,9216,14336,6855,77.033645,TOPS,.248720,1763524139437,24.485000,213,273.00,311.00,309.72
2,1024,9216,16384,6282,575.635857,TOPS,1.437293,1763524139821,3.699000,30,358.00,404.00,400.50
6,1024,9216,18432,5710,583.541422,TOPS,1.471323,1763524190784,3.738000,31,341.00,402.00,396.61
4,1024,9216,20480,5137,592.749944,TOPS,1.382603,1763524191106,3.596000,29,382.00,432.00,428.72
3,1024,9216,22528,4564,596.885863,TOPS,1.420345,1763524191878,3.488000,29,340.00,427.00,420.24
2,1024,9216,24576,4391,599.325885,TOPS,1.441276,1763524192478,3.636000,30,361.00,420.00,415.83
5,1024,9216,26624,4269,606.374342,TOPS,1.398529,1763524225102,3.765000,31,370.00,438.00,433.58
0,1024,9216,28672,4146,609.459891,TOPS,1.417348,1763524225861,3.903000,32,370.00,435.00,430.00
7,1024,9216,30720,4023,613.618624,TOPS,1.457111,1763524226236,4.015000,34,343.00,426.00,421.12
1,1024,9216,32768,3900,614.366415,TOPS,1.398257,1763524227159,4.154000,34,392.00,443.00,439.38
6,1024,9216,34816,3778,619.402864,TOPS,1.456527,1763524262923,4.217000,35,377.00,429.00,425.26
0,1024,9216,36864,3655,621.504866,TOPS,1.423739,1763524264169,4.317000,36,363.00,442.00,436.53
